net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,82,499,973,0.0,57.9973,64812.18,718.3,173,59.17,0.0,57.9972,64771.06,344.9,153,59.17,0.9222744937615054
3b,2,83,507,942,0.0,63.9968,70897.72,161.5,107,54.237,0.0,63.9968,70861.2,235.5,141,57.907,0.952395948012425
3b,2,85,547,1036,0.0,63.997,70999.85,1173.7,183,64.884,0.0,62.9968,70123.62,469.5,168,69.84,0.9445506988189077
3b,2,86,498,1045,0.0,69.9967,77641.53,1378.0,188,74.344,0.0,69.9967,77569.46,440.1,153,71.922,0.941977648360229
3b,2,87,479,1014,0.0,65.9969,72911.66,1245.2,206,67.192,0.0,64.997,71979.75,397.4,164,61.304,0.9374888259995552
3b,2,88,497,1054,0.0,57.9973,66099.69,7966.2,306,72.179,0.0,56.9972,65150.18,632.2,168,66.851,0.9228838959304577
3b,2,89,519,989,0.0,63.9967,71073.49,2255.5,273,64.453,0.0,61.9967,69534.42,304.4,154,62.069,0.939634287688231
3b,2,90,475,1048,0.0,59.997,66791.91,1529.8,236,65.799,0.0,58.997,65876.89,545.3,178,62.341,0.9394848134528829
3b,2,91,466,991,0.0,65.9967,73087.49,703.0,160,66.632,0.0,65.9966,73023.96,323.2,159,61.637,0.9285128010498735
3b,2,92,585,1118,0.0,68.9965,76669.22,1594.9,197,72.958,0.0,65.9964,73871.98,495.1,170,70.914,0.9278826430517955
3b,2,93,536,979,0.0,63.9969,70727.85,199.2,115,57.422,0.0,63.9969,70696.75,463.1,171,62.099,0.9415529734656183
3b,2,94,594,1390,0.0,67.9967,76166.7,3282.8,203,89.771,0.0,66.9965,75138.77,21665.1,628,126.278,0.9168029855754091
3b,2,95,529,1056,0.0,68.9962,76423.0,2291.6,264,68.963,0.0,68.9962,76367.44,790.4,193,67.01,0.9263283490137207
3b,2,96,498,973,0.0,57.9971,64448.07,685.8,173,59.329,0.0,57.9971,64418.02,447.4,155,59.404,0.9335898245714778
3b,2,97,538,1061,0.0,63.9968,71837.48,1075.1,184,75.797,0.0,63.9968,71742.45,530.9,157,71.165,0.921697110235134
3b,2,99,590,1105,0.0,68.9967,76901.14,922.7,151,70.65,0.0,68.9966,76811.0,913.2,183,87.776,0.9181224976480626
3b,2,100,542,1096,0.0,63.9966,71821.32,470.1,123,73.662,0.0,62.9966,70842.27,519.8,148,72.633,0.9324519785195443
3b,2,101,456,1028,0.0,51.9976,59220.42,1826.3,243,68.993,0.0,51.9974,59110.32,518.8,148,70.491,0.8596641392026827
3b,2,102,543,1083,0.0,63.9968,71297.44,725.8,157,65.625,0.0,63.9967,71268.36,511.7,163,65.428,0.9444150384487368
3b,2,103,534,1090,0.0,63.9967,71271.44,1410.1,191,71.422,0.0,63.9967,71191.45,863.1,177,80.071,0.9421055648534385
3b,2,104,460,917,0.0,50.9976,57322.61,890.6,224,53.298,0.0,48.9977,55617.62,228.4,136,55.44,0.9017121944843811
3b,2,105,513,1002,0.0,57.9969,64787.79,965.9,198,60.721,0.0,57.9969,64736.22,313.7,148,61.803,0.9308651536579343
3b,2,106,663,1126,0.000366035,68.9961,77023.25,26942.6,242,106.461,0.0,67.4963,75671.73,638.2,164,76.59,0.9036584184998372
3b,2,107,551,1061,0.0,69.9964,77319.13,2115.4,238,63.415,0.0,69.9961,77222.84,382.2,167,61.599,0.9492420009648062
3b,2,108,484,956,0.0,65.9968,72735.69,353.1,137,55.22,0.0,64.9969,71794.69,274.8,156,54.055,0.9519200335647041
3b,2,109,524,1091,0.0,63.9963,72054.72,23315.8,286,81.283,0.0,63.9963,71929.7,652.7,173,68.1,0.9369442304794511
3b,2,111,544,1083,0.0,63.9968,72296.21,22977.0,303,100.256,0.0,63.9968,72240.17,544.3,157,64.899,0.9326548334764767
3b,2,112,566,1072,0.0,68.9962,76245.06,552.3,147,67.729,0.0,68.9961,76211.8,510.1,173,66.442,0.9313203742087278
3b,2,113,513,987,0.0,63.9968,71105.68,210.0,119,60.253,0.0,62.9969,70194.71,341.1,166,62.765,0.9308227459039634
3b,2,114,462,1047,0.0,59.9969,66598.36,21627.0,705,69.25,0.0,59.9967,66567.66,469.2,172,64.293,0.9239326024801356
3b,2,115,480,1104,0.0,63.9969,71395.52,685.8,136,74.32,0.0,63.9969,71365.42,574.8,158,74.812,0.9166686648431002
3b,2,116,547,1068,0.0,68.9962,76732.92,575.6,136,63.468,0.0,68.9959,76637.67,414.8,145,69.129,0.9353219764599074
3b,2,117,505,1064,0.0,59.997,68095.34,344.8,103,74.026,0.0,58.997,67021.42,474.1,150,74.714,0.9287434825141109
3b,2,118,524,1022,0.0,59.9972,66574.03,5290.9,486,73.443,0.0,59.997,66473.71,403.7,154,68.993,0.9389748714376337
3b,2,119,487,1008,0.0,56.9972,63646.26,259.4,129,61.266,0.0,55.9971,62626.03,623.1,165,69.614,0.9206174393973764
3b,2,120,520,1126,0.0,61.9969,69229.49,658.0,154,72.776,0.0,61.9967,69114.18,1293.4,196,81.32,0.910837323263778
3b,2,121,475,1029,0.0,50.9976,58024.58,805.7,190,63.778,0.0,50.9975,57858.53,792.4,196,71.914,0.8478784998648449
3b,2,122,447,1041,0.0,51.9975,59044.34,620.3,148,63.778,0.0,51.9974,58848.14,635.9,177,69.197,0.8525483797485789
3b,2,123,542,1011,0.0,68.9968,76483.66,420.1,126,70.575,0.0,68.9968,76466.59,402.7,169,58.739,0.9437070312926955
3b,2,124,479,959,0.0,59.9971,66949.95,280.0,122,61.464,0.0,59.9969,66897.79,243.1,142,56.696,0.9361324761866079
3b,2,125,476,1024,0.0,50.9976,58087.06,21855.3,632,85.741,0.0,50.9976,58026.29,853.6,185,62.621,0.910683641861334
3b,2,126,520,1018,0.0,57.9974,65194.33,731.2,172,67.744,0.0,57.9972,65008.2,386.8,151,70.324,0.8944917726306019
3b,2,127,550,984,0.0,69.9966,77145.27,1669.4,256,58.391,0.0,69.9965,77028.22,312.0,162,59.284,0.9541533530133252
3b,2,128,545,1047,0.0,57.9971,65205.78,975.1,175,70.938,0.0,57.997,65135.73,725.2,175,79.686,0.8935924316031706
3b,2,129,497,1031,0.0,63.997,71003.89,793.3,174,63.469,0.0,63.997,70931.82,986.1,214,63.143,0.9339755034166065
3b,2,130,564,1183,0.0,68.9965,76953.6,22129.1,383,75.795,0.0,67.9965,76035.19,889.3,175,73.222,0.9272183273848787
3b,2,131,517,1016,0.0,57.9971,65295.81,300.9,127,62.386,0.0,55.9972,63657.72,519.0,165,61.637,0.9086932738244772
3b,2,132,462,976,0.0,57.9972,64872.12,493.4,157,62.167,0.0,57.997,64755.46,298.1,143,61.652,0.8689127789338768
3b,2,133,586,1198,0.0,68.9968,77441.05,3236.0,255,90.326,0.0,68.9966,77359.9,743.4,160,93.073,0.9394613443768587
3b,2,134,510,1055,0.0,64.9969,71543.8,725.7,162,61.259,0.0,63.9967,70698.65,713.4,186,63.112,0.922285945097291
3b,2,135,563,1077,0.0,63.9966,71263.33,276.8,114,79.663,0.0,63.9965,71177.32,1073.0,187,77.06,0.9477599796986961
3b,2,136,524,1006,0.0,57.9975,64976.51,252.6,112,59.692,0.0,57.9975,64934.46,294.3,144,63.605,0.9070962953328953
3b,2,137,518,1032,0.0,63.9971,71277.91,2939.2,259,81.836,0.0,63.9971,71217.96,484.4,161,65.921,0.929698379774742
3b,2,138,586,1047,0.0,68.9967,76319.46,293.6,115,66.443,0.0,68.9966,76267.39,442.9,163,64.883,0.9493160780881844
3b,2,139,558,1100,0.0,69.9963,77526.98,323.9,115,65.337,0.0,69.9961,77512.82,488.1,162,68.145,0.9519535056335479
