net,max_min,seed,nb_trips,sol_time,nb_veh_D0,nb_veh_D1,obj_val
3b,3,80,673,111.0,0.0,41.9978,46985.11
3b,3,81,783,4974.0,0.0,43.9979,49798.94
3b,3,82,631,65.8,0.0,41.9979,47191.21
3b,3,83,687,224.7,0.0,39.9984,45667.65
3b,3,84,792,789.6,0.0,39.998,45945.22
3b,3,85,673,131.8,0.0,43.9977,49845.03
3b,3,86,684,292.0,0.0,47.9978,53674.95
3b,3,87,662,132.4,0.0,45.998,51497.21
3b,3,88,740,161.0,0.0,35.9984,41589.78
3b,3,89,649,148.3,0.0,45.9974,51478.52
3b,3,90,687,249.8,0.0,43.9979,49195.1
3b,3,91,660,108.6,0.0,45.9979,51671.19
3b,3,92,735,123.4,0.0,47.9976,53880.75
3b,3,93,647,117.0,0.0,45.9971,51412.34
3b,3,94,884,989.8,0.0,41.9978,47994.9
3b,3,95,687,107.9,0.0,46.9979,52947.2
3b,3,96,635,78.6,0.0,41.998,46891.38
3b,3,97,737,188.5,0.0,41.998,48021.26
3b,3,98,662,546.2,0.0,41.9982,47353.58
3b,3,99,741,757.4,0.0,41.9978,47715.06
3b,4,0,542,275.6,0.0,31.9985,37227.86
3b,4,1,483,43.0,0.0,31.9982,36589.68
3b,4,2,544,64.5,0.0,27.9988,33168.15
3b,4,3,520,121.0,0.0,32.9986,38010.01
3b,4,4,529,56.5,0.0,33.9984,38893.85
3b,4,5,527,78.1,0.0,30.9986,36240.12
3b,4,6,536,68.3,0.0,29.9985,35073.97
3b,4,7,525,69.7,0.0,29.9988,34936.24
3b,4,8,515,67.0,0.0,32.9986,38090.0
3b,4,9,521,63.9,0.0,31.9987,36594.13
3b,4,10,535,72.0,0.0,29.9984,35147.86
3b,4,11,518,102.5,0.0,31.9985,36729.86
3b,4,12,531,91.7,0.0,31.9985,37201.92
3b,4,13,505,62.0,0.0,31.9984,37021.82
3b,4,14,540,49.9,0.0,33.9983,39337.7
3b,4,15,465,87.5,0.0,29.9984,34851.88
3b,4,16,540,165.0,0.0,33.9985,38809.87
3b,4,17,567,160.1,0.0,33.9981,38379.54
3b,4,18,482,43.4,0.0,29.9983,34619.8
3b,4,19,513,61.4,0.0,29.9986,35177.87
3b,4,20,502,67.9,0.0,30.9985,36006.07
3b,4,21,505,52.5,0.0,30.9984,35989.88
3b,4,22,531,70.9,0.0,29.9987,34942.17
3b,4,23,535,62.2,0.0,29.9984,34941.88
3b,4,24,495,63.7,0.0,30.9985,36057.95
3b,4,25,543,89.2,0.0,27.9986,32910.1
3b,4,26,529,136.9,0.0,28.9986,34110.02
3b,4,27,484,86.3,0.0,30.9982,35789.71
3b,4,28,480,53.2,0.0,31.9983,36961.79
3b,4,29,545,66.3,0.0,31.9985,36657.92
3b,4,30,503,75.0,0.0,29.9985,35050.01
3b,4,31,513,93.7,0.0,30.9986,36218.05
3b,4,32,530,180.7,0.0,27.9986,32984.11
3b,4,33,557,187.0,0.0,29.9986,35325.9
3b,4,34,484,88.6,0.0,29.9983,34463.88
3b,4,35,574,191.1,0.0,33.9985,38819.89
3b,4,36,640,127.2,0.0,33.9983,39193.68
3b,4,37,569,85.5,0.0,30.9985,35801.91
3b,4,38,566,73.5,0.0,35.9982,41009.54
3b,4,39,534,70.0,0.0,32.9984,38099.76
3b,4,40,525,63.4,0.0,32.9986,38030.07
3b,4,41,554,69.3,0.0,30.9984,36009.86
3b,4,42,533,71.9,0.0,29.9986,34989.99
3b,4,43,529,110.3,0.0,29.9986,35186.05
3b,4,44,481,43.5,0.0,33.9982,38657.71
3b,4,45,529,77.7,0.0,33.9984,38673.87
3b,4,46,540,106.4,0.0,33.9984,38903.8
3b,4,47,555,75.9,0.0,31.9985,37055.96
3b,4,48,568,152.9,0.0,31.9984,36985.82
3b,4,49,556,121.2,0.0,32.9985,37935.94
3b,4,50,553,66.7,0.0,34.9983,40229.7
3b,4,51,544,134.7,0.0,32.9985,37831.92
3b,4,52,489,104.2,0.0,29.9982,34771.71
3b,4,53,576,246.4,0.0,31.9986,37035.99
3b,4,54,504,77.3,0.0,31.9985,37135.91
3b,4,55,544,66.2,0.0,29.9987,35056.12
3b,4,56,574,94.4,0.0,31.9986,36614.08
3b,4,57,515,62.5,0.0,31.9985,36997.94
3b,4,58,543,116.4,0.0,29.9986,34708.07
3b,4,59,493,101.6,0.0,29.9985,34613.95
3b,4,60,470,44.1,0.0,30.9984,35635.93
3b,4,61,489,60.5,0.0,29.9983,34739.71
3b,4,62,517,70.8,0.0,27.9987,32650.18
3b,4,63,551,68.4,0.0,32.9985,37936.0
3b,4,64,529,94.4,0.0,29.9986,34892.05
3b,4,65,563,74.7,0.0,33.9984,39079.77
3b,4,66,540,73.3,0.0,31.9986,37050.04
3b,4,67,537,131.2,0.0,29.9985,34891.93
3b,4,68,556,146.2,0.0,30.9986,36373.98
3b,4,69,560,97.5,0.0,27.9988,33368.23
3b,4,70,507,75.6,0.0,31.9984,36957.87
3b,4,71,493,58.4,0.0,33.9982,39131.59
3b,4,72,562,154.7,0.0,32.9984,38255.72
3b,4,73,503,74.1,0.0,29.9985,35065.91
3b,4,74,490,63.0,0.0,31.9984,36591.91
3b,4,75,556,76.0,0.0,31.9985,37207.85
3b,4,76,519,73.4,0.0,32.9984,37401.93
3b,4,77,536,62.3,0.0,30.9984,36019.87
3b,4,78,567,200.7,0.0,31.9985,37111.88
3b,4,79,522,92.6,0.0,35.9983,40701.82
3b,4,80,516,98.8,0.0,31.9983,36899.78
3b,4,81,568,106.6,0.0,35.9981,41095.54
3b,4,82,478,37.3,0.0,31.9985,36542.03
3b,4,83,496,55.1,0.0,30.9986,35588.08
3b,4,84,573,78.7,0.0,31.9985,37419.94
3b,4,85,512,93.8,0.0,32.9987,37880.06
3b,4,86,525,122.4,0.0,31.9987,37012.14
3b,4,87,507,106.4,0.0,31.9984,36641.88
3b,4,88,533,63.8,0.0,28.9984,34171.86
3b,4,89,491,40.7,0.0,33.9982,38929.61
3b,4,90,541,66.7,0.0,31.9985,36999.92
3b,4,91,505,49.2,0.0,31.9984,36781.89
3b,4,92,561,65.3,0.0,33.9985,39195.81
3b,4,93,492,50.6,0.0,33.9983,38751.75
3b,4,94,644,227.4,0.0,34.9982,40581.51
3b,4,95,517,44.9,0.0,32.9986,37850.04
3b,4,96,485,50.5,0.0,31.9982,36649.7
3b,4,97,535,96.1,0.0,33.9982,39241.6
3b,4,98,508,111.2,0.0,31.9985,36742.0
3b,4,99,544,79.2,0.0,32.9985,38049.9
